wkt;

"LINESTRING(-112.0224848 33.6859228,-112.0223735 33.6860444,-112.0222795 33.6861362,-112.0217035 33.6868431,-112.0213017 33.6872916,-112.0212383 33.6873585,-112.0211281 33.6874518,-112.0210279 33.6875374,-112.0208624 33.6876784,-112.0207168 33.6877916)"
"LINESTRING(-112.0207168 33.6877916,-112.0205660 33.6878939,-112.0204272 33.6879879,-112.0202884 33.6880818,-112.0201421 33.6881693,-112.0200549 33.6882313,-112.0199856 33.6882842,-112.0199333 33.6883031,-112.0198810 33.6883221,-112.0197571 33.6883399)"

"LINESTRING(-112.0198634 33.6884997,-112.0199056 33.6884474,-112.0199656 33.6883891,-112.0200563 33.6883335,-112.0201666 33.6882921,-112.0202910 33.6882188,-112.0204721 33.6881121,-112.0206205 33.6880092,-112.0207564 33.6879058,-112.0212139 33.6875299)"
"LINESTRING(-112.0212139 33.6875299,-112.0213275 33.6874204,-112.0213920 33.6873583,-112.0217235 33.6870389,-112.0222602 33.6864037,-112.0224121 33.6862263,-112.0225014 33.6861214,-112.0226031 33.6859921)"

"LINESTRING(-112.0192641 33.6884975,-112.0191979 33.6885863,-112.0191161 33.6886600,-112.0190270 33.6887007,-112.0189291 33.6887336,-112.0187248 33.6887886,-112.0183872 33.6888843,-112.0179953 33.6889672,-112.0176429 33.6890187,-112.0174149 33.6890494)"
"LINESTRING(-112.0174149 33.6890494,-112.0171568 33.6890773,-112.0168249 33.6890857,-112.0164775 33.6890873,-112.0160805 33.6890712,-112.0158221 33.6890466,-112.0155467 33.6890130,-112.0154468 33.6889973,-112.0153247 33.6889706,-112.0152017 33.6889436)"
"LINESTRING(-112.0152017 33.6889436,-112.0150010 33.6888996,-112.0148625 33.6888637,-112.0146579 33.6888104,-112.0145300 33.6887766,-112.0144816 33.6887592,-112.0144188 33.6887367,-112.0142998 33.6886920,-112.0138412 33.6885123,-112.0135820 33.6883938)"
"LINESTRING(-112.0135820 33.6883938,-112.0133135 33.6882656,-112.0131388 33.6881767,-112.0130467 33.6881298,-112.0122113 33.6877158,-112.0119919 33.6876283,-112.0118261 33.6875798,-112.0116066 33.6875215,-112.0113634 33.6874768,-112.0111463 33.6874554)"
"LINESTRING(-112.0111463 33.6874554,-112.0109228 33.6874436)"

"LINESTRING(-112.0088968 33.6884440,-112.0089544 33.6883462,-112.0090484 33.6882273,-112.0091453 33.6881447,-112.0092541 33.6880622,-112.0095128 33.6878965,-112.0097220 33.6877956,-112.0100021 33.6877002,-112.0102147 33.6876381,-112.0104749 33.6875845)"
"LINESTRING(-112.0104749 33.6875845,-112.0106814 33.6875622,-112.0109234 33.6875567,-112.0110610 33.6875589,-112.0112367 33.6875689,-112.0113909 33.6875912,-112.0115800 33.6876303,-112.0117731 33.6876760,-112.0119367 33.6877296,-112.0120936 33.6877921)"
"LINESTRING(-112.0120936 33.6877921,-112.0122519 33.6878646,-112.0129850 33.6882141,-112.0130774 33.6882624,-112.0135217 33.6884951,-112.0136987 33.6885777,-112.0138650 33.6886524,-112.0140313 33.6887216,-112.0141748 33.6887763,-112.0142426 33.6888006)"
"LINESTRING(-112.0142426 33.6888006,-112.0143644 33.6888385,-112.0144347 33.6888611,-112.0146080 33.6889169,-112.0148051 33.6889637,-112.0149862 33.6890062,-112.0151753 33.6890474,-112.0153080 33.6890742,-112.0154246 33.6891003,-112.0155212 33.6891168)"
"LINESTRING(-112.0155212 33.6891168,-112.0157960 33.6891526,-112.0160732 33.6891816,-112.0164923 33.6892006,-112.0168349 33.6892006,-112.0171749 33.6891878,-112.0174230 33.6891638,-112.0176590 33.6891309,-112.0180070 33.6890795,-112.0184094 33.6889908)"
"LINESTRING(-112.0184094 33.6889908,-112.0187621 33.6888893,-112.0189626 33.6888329,-112.0190638 33.6887827,-112.0191557 33.6887381,-112.0192697 33.6887252,-112.0194020 33.6887463)"

"LINESTRING(-112.0198629 33.6885700,-112.0198634 33.6884997,-112.0198443 33.6884396,-112.0198081 33.6883853,-112.0197571 33.6883399,-112.0196904 33.6883049,-112.0196150 33.6882854,-112.0195412 33.6882824,-112.0194687 33.6882944,-112.0194018 33.6883207)"
"LINESTRING(-112.0194018 33.6883207,-112.0193447 33.6883597,-112.0193005 33.6884090,-112.0192774 33.6884518,-112.0192641 33.6884975,-112.0192622 33.6885553,-112.0192761 33.6886119,-112.0193052 33.6886644,-112.0193479 33.6887100,-112.0194020 33.6887463)"
"LINESTRING(-112.0194020 33.6887463,-112.0194811 33.6887756,-112.0195670 33.6887851,-112.0196518 33.6887742,-112.0197294 33.6887439,-112.0197938 33.6886967,-112.0198391 33.6886374,-112.0198629 33.6885700)"

"LINESTRING(-112.0085656 33.6888099,-112.0086270 33.6888222,-112.0087222 33.6888192,-112.0088109 33.6887905,-112.0088835 33.6887392,-112.0089321 33.6886711,-112.0089514 33.6885935,-112.0089391 33.6885150,-112.0088968 33.6884440,-112.0088501 33.6884020)"
